1555367210	0.001966	108211	10821	10	3.0.0.1	10Seg1-Frag1	
1555367210	0.010336	185003	28239	1000	3.0.0.1	1000Seg1-Frag2	
1555367212	0.005300	266958	52110	1000	3.0.0.1	1000Seg2-Frag7	
1555367215	0.002555	571857	104084	1000	3.0.0.1	1000Seg2-Frag8	
1555367215	0.002484	648135	158489	1000	3.0.0.1	1000Seg2-Frag9	
1555367215	0.005398	298557	172495	1000	3.0.0.1	1000Seg2-Frag10	
1555367218	0.002940	505069	205752	1000	3.0.0.1	1000Seg2-Frag11	
1555367218	0.005092	548766	240053	1000	3.0.0.1	1000Seg2-Frag12	
1555367221	0.002550	624043	278452	1000	3.0.0.1	1000Seg3-Frag13	
1555367221	0.003417	424159	293022	1000	3.0.0.1	1000Seg3-Frag14	
1555367222	0.002567	470519	310771	1000	3.0.0.1	1000Seg3-Frag15	
1555367222	0.002029	301220	309815	1000	3.0.0.1	1000Seg3-Frag16	
1555367225	0.001341	488471	327680	1000	3.0.0.1	1000Seg3-Frag17	
1555367226	0.003683	196307	314542	1000	3.0.0.1	1000Seg3-Frag18	
1555367226	0.002001	283862	311473	1000	3.0.0.1	1000Seg4-Frag19	
1555367229	0.002421	478086	328134	1000	3.0.0.1	1000Seg4-Frag20	
1555367229	0.001572	419251	337245	1000	3.0.0.1	1000Seg4-Frag21	
1555367229	0.001268	417425	345263	1000	3.0.0.1	1000Seg4-Frag22	
1555367232	0.005032	419027	352639	1000	3.0.0.1	1000Seg4-Frag23	
1555367232	0.006440	333985	350773	1000	3.0.0.1	1000Seg4-Frag24	
1555367233	0.008181	265860	342281	1000	3.0.0.1	1000Seg5-Frag25	
1555367233	0.003928	411604	349213	1000	3.0.0.1	1000Seg5-Frag26	
1555367236	0.002561	550406	369332	1000	3.0.0.1	1000Seg5-Frag27	
1555367238	0.003673	376383	370037	1000	3.0.0.1	1000Seg5-Frag28	
1555367239	0.004059	394288	372462	1000	3.0.0.1	1000Seg5-Frag29	
1555367240	0.002914	504623	385678	1000	3.0.0.1	1000Seg5-Frag30	
1555367242	0.003340	457286	392838	1000	3.0.0.1	1000Seg6-Frag31	
1555367243	0.002978	567226	410276	1000	3.0.0.1	1000Seg6-Frag32	
1555367245	0.003332	395949	408843	1000	3.0.0.1	1000Seg6-Frag33	
1555367246	0.001655	509616	418920	1000	3.0.0.1	1000Seg6-Frag34	
1555367247	0.014860	57491	382777	1000	3.0.0.1	1000Seg6-Frag35	
1555367249	0.002863	307979	375297	1000	3.0.0.1	1000Seg6-Frag36	
1555367250	0.001524	570908	394858	1000	3.0.0.1	1000Seg7-Frag37	
1555367251	0.001571	550212	410393	1000	3.0.0.1	1000Seg7-Frag38	
1555367253	0.001911	465218	415875	1000	3.0.0.1	1000Seg7-Frag39	
1555367254	0.001666	512100	425497	1000	3.0.0.1	1000Seg7-Frag40	
1555367255	0.001363	647835	447730	1000	3.0.0.1	1000Seg7-Frag41	
